PyTree Path (Depth 3)                                             | Kept   | Pruned | Common Kept Types
energy_nodes['network.line.engine.burner'].mass_properties.center_of_gravity | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.burner'].mass_properties.density | 1      | 0      | float
energy_nodes['network.line.engine.burner'].mass_properties.empty  | 1      | 0      | float
energy_nodes['network.line.engine.burner'].mass_properties.moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.burner'].mass_properties.subcomponent_moments_of_inertia | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.burner'].mass_properties.subcomponent_total | 1      | 0      | float
energy_nodes['network.line.engine.burner'].mass_properties.total  | 1      | 0      | float
energy_nodes['network.line.engine.burner'].mass_properties.volume | 1      | 0      | float
energy_nodes['network.line.engine.burner'].origin                 | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.burner'].widths.effective       | 1      | 0      | float
energy_nodes['network.line.engine.burner'].widths.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.burner'].widths.maximum         | 1      | 0      | float
energy_nodes['network.line.engine.burner'].widths.projected       | 1      | 0      | float
energy_nodes['network.line.engine.burner'].widths.reference       | 1      | 0      | float
energy_nodes['network.line.engine.burner'].widths.side_projected  | 1      | 0      | float
energy_nodes['network.line.engine.burner'].widths.top_projected   | 1      | 0      | float
energy_nodes['network.line.engine.burner'].widths.total           | 1      | 0      | float
energy_nodes['network.line.engine.burner'].working_fluid.composition | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.burner'].working_fluid.molecular_mass | 1      | 0      | ArrayImpl
energy_nodes['network.line.engine.compressor'].add_mixer          | 1      | 0      | bool
energy_nodes['network.line.engine.compressor'].areas.effective    | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.exit         | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.exposed      | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.front_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.inflow       | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.inlet        | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.maximum      | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.outflow      | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.projected    | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.reference    | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.side_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.top_projected | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.total        | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].areas.wetted       | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].design_parameters.A_exit | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].design_parameters.A_intake | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].design_parameters.A_throat | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].design_parameters.eff | 6      | 0      | float
energy_nodes['network.line.engine.compressor'].design_parameters.exit_mach_number | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].design_parameters.intake_temperature | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].design_parameters.noise_speed | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].design_parameters.output_temperature | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].design_parameters.pressure_ratio | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].design_parameters.pressure_recovery | 1      | 0      | float
energy_nodes['network.line.engine.compressor'].design_parameters.rotation_speed | 1      | 0      | float
